sentence1,relation,relationscore,structure,structurescore
"What attributes identify a ""cheese build"" in SC2?","What attributes identify an SC2 ""build cheese""?",4,What are the attributes that identify a 'cheese build' in SC2?,5
What is the proper way to write the plural of a single letter? (another apostrophe question),What is the improper way to write the plural of a single letter? (another apostrophe question),4,How should the plural of a single letter be written? (another question about apostrophes),5
Steps to Optimize WordPress in Regard to Server Load?,Steps to increase server load while using WordPress?,2,How can WordPress be optimized in regard to server load?,5
How can I block incoming SMS from certain senders?,How can certain senders block incoming SMS from me?,3,Can incoming SMS from certain senders be blocked?,5
Flattening JP2 files to single band (i.e. averaging bands)?,Multiplying bands to create JP2 files with more layers?,2,"Single band flattening of JP2 files (i.e. averaging bands), how to?",5
Version control for independent developers?,Version control for collaborative developers?,2,"Independent developers, version control for?",5
Texture mapping and resizing a sphere primitive in Mathematica,Resizing a sphere primitive and removing texture mapping in Mathematica,3,Resizing and texture mapping a sphere primitive in Mathematica.,5
"What is the meaning of ""flashing a custom ROM""?","What is the meaning of ""custom ROM flashing""?",5,"What does ""flashing a custom ROM"" mean?",5
How do I keep my wi-fi on in sleep mode,How do I turn off my wi-fi in sleep mode?,2,How to keep wi-fi on in sleep mode?,5
What are the SEO rules for HTML 5?,What are the HTML 5 rules against SEO?,1,What are the HTML 5 SEO rules?,5
"A number of questions ""has been"" or ""have been"" asked?","""Has been"" or ""have been"" asked a number of answers?",2,"Has been or have been asked, a number of questions?",2
"Is the usage of ""are"" correct when referring to a team/group/band?","When referring to a team/group/band, is the usage of ""are"" incorrect?",2,"When referring to a team/group/band, is the usage of ""are"" correct?",4
Is time continuous?,Is time discontinuous?,2,Is time continuous?,5
Getting information on a machine's hardware in Linux,Getting information on Linux's hardware in a machine,3,"In Linux, getting information on a machine's hardware?",4
Line break in citation with organization as author,Citation with organization as author breaks the line,3,"With organization as author, line break in citation?",4
Widow word on a page? I thought LaTeX wouldn't do that,"LaTeX would do that, I thought there wouldn't be a widow word on a page",2,"I thought LaTeX wouldn't do that, widow word on a page?",2
How to start a new Linux distro?,How to end a Linux distro?,1,How to start a new Linux distro?,5
Inserting terms in an Hierarchical Taxonomy,Hierarchical Taxonomy terms are extracted.,3,"In a hierarchical taxonomy, inserting terms?",4
How do I use my scorestreak?,"My scorestreak uses me, how do I?",2,"Using my scorestreak, how do I?",4
Determine if a navigation item has children,"Children have a navigation item, how to determine?",2,"Has children, a navigation item, determine if?",2
Can I see what difficulty I am playing?,Am I playing what difficulty? Can I see?,4,Am I playing on what difficulty? Can I see?,4
Permissions: What's the right way to give Apache more user permissions?,"Apache needs more user permissions, what's the right way to give them?",4,What's the right way to give Apache more user permissions? Permissions?,5
Using a wireless XBox 360 controller on a PC,"A PC uses a wireless XBox 360 controller, how?",4,"On a PC, using a wireless XBox 360 controller?",4
Should we choose Java over C# for a new project?,"C# over Java for a new project, should we choose?",2,"For a new project, should C# be chosen over Java?",4
Plotting a set of trajectories (not a vector field) in 3D,"3D trajectories (not a vector field) plot a set of, how?",2,"In 3D, plotting a set of trajectories (not a vector field)?",4
How can I find a good open source project to join?,"Joining a good open source project, how can I find?",4,"To join, how can I find a good open source project?",4
Dependence of Friction on Area,Area's dependence on friction,2,"On area, dependence of friction?",2
Social network datasets,Datasets of social network,5,"Datasets, social network.",4
So now Google has said no to old browsers when can the rest of us follow suit?,"""Old browsers have said no to Google, when can the rest of us follow suit?""",3,"When can the rest of us follow suit, now that Google has said no to old browsers?",5
Etymology of 'teaching grandma to suck eggs'?,"""Teaching eggs to suck grandma"" - what's the origin of this phrase?",2,What is the etymology of 'teaching grandma to suck eggs'?,5
How to connect a word and a phrase with a hyphen?,"""How to disconnect a word and a phrase with a hyphen?""",2,How do I connect a word and a phrase with a hyphen?,5
Free spam blocker service,"""Paid spam promotion service""",1,Service for free spam blocker.,3
What Wii consoles can play GameCube games?,"""What GameCube games can be played on Wii consoles?""",2,Which Wii consoles can play GameCube games?,5
Why can't the su binary simply be copied (techical response please),"""Why can't the su binary be simply copied (non-technical response please)?""",3,What is the technical reason that the su binary cannot be simply copied?,5
How can different file descriptors point to the same file in open file table?,"""How can the same file have different file descriptors in open file table?""",2,"In the open file table, how can different file descriptors point to the same file?",5
"Why is ""xxxx doth not a yyyy make"" considered valid English?","""Why is ""xxxx doth a yyyy make"" considered invalid English?""",2,Why is 'xxxx doth not a yyyy make' considered valid English?,5
How to typeset large numbers,Large numbers typeset how to?,4,"Typesetting large numbers, how to?",4
"Why write clean, refactored code?","Why code refactored, clean write?",2,"Why should clean, refactored code be written?",5
"Buy Android phone, install Android from source, have Nexus S -like experience?","Install Android from source, buy Android phone, experience like Nexus S have?",2,"Having Nexus S-like experience, buy Android phone, install Android from source?",5
How can I upgrade my weapons to level 10?,Level 10 weapons upgrade can I how?,3,"Upgrading weapons to level 10, how can I?",5
How to select a finite number of samples from the file when plotting using pgfplot,Pgfplot using when file the from samples of number finite a select to how?,3,"Using pgfplot, how to select a finite number of samples from the file when plotting?",5
Recommend an open source CMS for single page web site,Single page web site for CMS source open an recommend.,2,"Single page web site, recommend an open source CMS for?",5
Brachistochrone Problem for Inhomogeneous Potential,Inhomogeneous potential for problem Brachistochrone.,5,"Inhomogeneous Potential, Brachistochrone Problem for?",5
How can I find my World's Strongholds?,"My World's Strongholds can find me, how?",3,How can the World's Strongholds be found?,5
About the Ether Theory acceptance,The Ether Theory rejection,2,"Acceptance of the Ether Theory, about?",3
"Is there a reason the British omit the article when they ""go to hospital""?","The British omit the article when they ""go to hospital"" for a reason?",4,"Why do the British omit the article when they ""go to hospital""?",5
Is there a chance to lose all your enchantments when enchanting an item?,"Enchanting an item can lose all your enchantments, is there a chance?",3,"Enchanting an item, is there a chance to lose all your enchantments?",4
What are suitable distros for the Asus EEE PC 701 4G?,The Asus EEE PC 701 4G is suitable for which distros?,4,"Asus EEE PC 701 4G, what are suitable distros for?",5
Interviewing a developer who's skilled in a language you don't know,"Interviewing a developer who's skilled in a language I don't know, how?",3,Interviewing a developer skilled in a language you don't know.,5
Dealing with frustration when things don't work,"When things don't work, frustration deals with me.",2,"When things don't work, dealing with frustration.",4
Select maximum number of points more than x meters apart,"Points more than x meters apart, select minimum number.",3,Points more than x meters apart - selecting the maximum number.,5
Can I train Google Voice Actions to better recognize my voice?,"Better recognize my voice, can Google Voice Actions train me?",2,Can I better train Google Voice Actions to recognize my voice?,4
What would be the effects on theoretical physics if neutrinos go faster than light?,"Neutrinos go faster than light, what would be the effects on theoretical physics?",4,"If neutrinos go faster than light, what would be the effects on theoretical physics?",5
What happens if a file is modified while you're copying it?,"If you modify a file while it's being copied, what happens?",5,"While copying a file, what happens if it is modified?",5
Does China Mobile Galaxy S3 model GT I-9308 have Google Play Store?,Does Google Play Store have China Mobile Galaxy S3 model GT I-9308?,4,Does China Mobile Galaxy S3 model GT I-9308 have Google Play Store?,5
$wpdb->prepare() warning in WordPress 3.5,WordPress 3.5 warning in $wpdb->prepare(),4,"In WordPress 3.5, $wpdb->prepare() warning.",4
Trigonometric operations on standard deviations,Standard deviations on trigonometric operations,2,"Standard deviations, trigonometric operations on.",2
How many skill points will I have at max level?,"At max level, how many skill points will have me?",4,"At max level, how many skill points will I have?",5
How to specify a fixed height for all rows in a table?,"All rows in a table have a fixed height, how to specify it?",4,How can I set a fixed height for all rows in a table?,5
Will new Minecraft features appear in existing worlds?,Will existing worlds have new Minecraft features appear?,3,Will existing worlds receive new Minecraft features?,5
How to use PSTricks in pdfLaTeX?,"PSTricks in pdfLaTeX can use me, how?",4,"In pdfLaTeX, how to use PSTricks?",5
How can I get exactly 5 logarithmic divisions of an interval?,"An interval can get exactly 5 logarithmic divisions of me, how?",2,"Of an interval, how can I get exactly 5 logarithmic divisions?",4
How to Map a subset of list elements to a function?,"A function can map a subset of me to list elements, how?",2,"To a function, how to map a subset of list elements?",4
Is energy really conserved?,"Conserved energy, is it really me?",2,"Conserved, is energy really?",3
Redirecting stdout to a file you don't have write permission on,"A file you don't have write permission on can redirect me to stdout, how?",2,How can stdout be redirected to a file without write permission?,5
"Regarding p-values, why 1% and 5%? Why not 6% or 10%?","6% or 10%, why not p-values of 1% and 5%?",2,Why 1% and 5% regarding p-values? Why not 6% or 10%?,4
Remove ugly borders around clickable cross-references and hyperlinks,"Clickable cross-references and hyperlinks can remove ugly borders around me, how?",2,"Clickable cross-references and hyperlinks, how to remove ugly borders around?",4
How to write content that uses keyword terms which are google stop words,"Content that uses keyword terms which are google stop words, how to write?",4,"Google stop words being keyword terms, how to write content that uses them?",4
Comparing two Digital Elevation Models (DEMs) from LAS files?,"Comparing LAS files, two Digital Elevation Models (DEMs) from?",5,"From LAS files, comparing two Digital Elevation Models (DEMs)?",5
Does my follower's enchanted weapon need to be refilled?,"Refilled, does my enchanted weapon follower need to be?",4,Does the enchanted weapon of my follower need refilling?,5
Where to find an original Android image?,"Android image, where not to find an original?",4,"Finding an original Android image, where?",4
How to install APK files on SDCARD?,"SDCARD, how to install APK files not on?",4,"On SDCARD, how to install APK files?",4
"A vs. ""An"" in writing vs. pronunciation","Pronunciation vs. writing, ""An"" vs. A in?",4,"In writing vs. pronunciation, 'A' vs. 'An'?",4
How do I manually install a package to Texmaker - Ubuntu 10.10+,"Ubuntu 10.10+, how to manually install a package to Texmaker?",5,"On Ubuntu 10.10+, how to manually install a package to Texmaker?",5
Is it possible to determine or control where a SCV moves during construction?,"Construction during SCV moves, is it possible to determine or control where?",4,Can the movement of a SCV during construction be determined or controlled?,5
Different notification sounds for sms and email?,SMS and email have different notification sounds?,5,"For sms and email, different notification sounds?",5
"Do you use ""a"" or ""an"" before acronyms?","Do acronyms use ""an"" or ""a"" before them?",5,"Before acronyms, do you use 'a' or 'an'?",5
VT-resize image and display it,Image resizes VT and displays it?,4,"And display it, VT-resize image?",2
Why do space crafts take off with rockets instead of just ascending like an aircraft until they reach space?,Why don't space crafts just ascend like an aircraft until they reach space instead of taking off with rockets?,2,Why are rockets used for takeoff instead of ascending like an aircraft until reaching space?,5
Can I use dagger stealth multiplier on a dragon?,Can a dragon use dagger stealth multiplier on me?,3,"On a dragon, can I use dagger stealth multiplier?",2
How many skill points does it take to level up?,How many level up points does it take to gain a skill?,2,"To level up, how many skill points does it take?",5
"Is it alright to use lowercase ""i"" or should you always use ""I"" (uppercase)?","Should you always use ""I"" (uppercase) or is it alright to use lowercase ""i""?",3,"Is it acceptable to use lowercase ""i"" instead of ""I"" (uppercase)?",5
What experiment would disprove string theory?,What experiment would prove string theory?,1,Which experiment would disprove string theory?,2
How can I cure lycanthropy?,"Lycanthropy can cure me, how?",3,Is lycanthropy curable?,5
How to leave out chapter numbers in section numbering,How to leave out section numbers in chapter numbering?,5,"In section numbering, how to leave out chapter numbers?",5
Starcraft 2 maintaining unit formations,Unit formations maintaining Starcraft 2,5,"Maintaining unit formations, Starcraft 2?",5
How can I get Google's two-step verification to work?,Google's two-step verification can get me how?,3,How can Google's two-step verification be made to work?,5
Do different weapon types have different reach?,Do different reach have weapon types?,5,Does the reach of different weapon types vary?,5
"When should a singular word ending in ""y"" end in ""ies"" plurally?","Plurally, when should a singular word ending in ""y"" end in ""ies""?",5,"Plurally, when should a singular word ending in 'y' end in 'ies'?",5
spacetime expansion and universe expansion?,Universe expansion and spacetime expansion?,5,Universe expansion and spacetime expansion?,5
Can I automatically log in to open WiFi that requires web login/password?,Open WiFi that requires web login/password can automatically log in to me?,2,Is it possible to log in automatically to open WiFi that requires web login/password?,4
Are my romance options in ME3 limited if I cheated on my ME1 romance in ME2?,"If I cheated on my ME1 romance in ME2, are my romance options in ME3 unlimited?",1,"If I cheated on my ME1 romance in ME2, are my romance options in ME3 limited?",5
Classical Limit of the Feynman Path Integral,Feynman Path Integral of the Classical Limit,2,The Feynman Path Integral's Classical Limit,5
Where do recipes drop in Diablo 3?,"In Diablo 3, where do recipes drop?",5,"In Diablo 3, where do recipes drop?",5
Recovering data points from an image,"From an image, how to recover data points?",4,Retrieving data points from an image,5
Forward vs Forwards,"Forwards or Forward, which one to use?",4,Forward vs Forwards: A Comparison,4
How to generate random categorical data?,What is the method to generate random categorical data?,4,How can random categorical data be generated?,5
Things to consider while choosing a web hosting service?,"While choosing a web hosting service, what are the things to consider?",4,What are the things to consider while choosing a web hosting service?,5
Do you have to be good at math to be a good programmer?,"To be a good programmer, is being good at math necessary?",4,"To be a good programmer, is being good at math necessary?",4
pgfplots: Placing node on a specific x-position,"""A specific x-position is placing node on pgfplots.""",2,"On a specific x-position, placing node in pgfplots?",3
User registration followed by automatic login,Automatic login followed by user registration.,4,Automatic login following user registration.,5
Where can I find China data?,"""Data can find China where?""",1,"Data for China, where can I find it?",3
The system cannot find the file specified,"""The file specified cannot find the system.""",2,Specified file cannot be found by the system.,4
Rebuild auto-complete index (or whatever it's called) and binaries in $PATH cache in zsh,"""Zsh cache in $PATH and binaries, rebuild auto-complete index (or whatever it's called).""",4,Rebuilding the auto-complete index (or whatever it's called) and binaries in $PATH cache in zsh.,5
Rasterizing a plot make axes ticks invisible,"""Invisible axes ticks make rasterizing a plot.""",2,Making axes ticks invisible by rasterizing a plot.,4
Will factory resetting my device remove the Android upgrade?,My device will remove the Android upgrade by factory resetting it.,4,Will removing the Android upgrade require a factory reset?,4
Intersection of straight line and circle,Circle and straight line intersect each other.,5,Circle and straight line intersection?,5
Capitalization for a bullet list,Bullet list capitalization for a.,4,Bullet list capitalization - how to?,5
Why doesn't a bus blow due to internal pressure?,"Internal pressure doesn't blow a bus, why?",3,Why doesn't internal pressure cause a bus to blow?,5
"Similar words that change from ""-ter"" to ""tre""","""-ter"" changes to ""tre"" for dissimilar words.",4,Words that change from '-ter' to 'tre' - similarities?,5
How to change font size for bibliography?,Bibliography font size change how to?,5,Bibliography font size change - how to?,5
Issues while plotting the results of pgRouting shortest path,Shortest path pgRouting results plotting issues.,3,Issues encountered while plotting results of pgRouting shortest path?,4
How do I leave mail at the registrar while serving the web from host?,Registrar mail leaving while hosting web from the host.,3,How to leave mail at the registrar while serving the web from host?,5
AxesLabel in Histogram3D unreadable,Histogram3D AxesLabel is unreadable.,5,The AxesLabel in Histogram3D is unreadable.,5
"Meaning of ""take a stab at doing something""","""Doing something takes a stab at you.""",2,"Doing something, what does 'take a stab at' mean?",4
Using assertions versus throwing exceptions?,"""Throwing exceptions is better than using assertions?""",2,Should assertions be used instead of throwing exceptions?,5
"Which is correct, ""you and I"" or ""you and me""?","""Which is correct, 'me and you' or 'I and you'?""",1,"Which is correct, 'you and I' or 'you and me'?",4
How does currency work?,"""How do I work for currency?""",1,How does currency work?,5
Why is sample standard deviation a biased estimator of $\sigma$?,"""Why is the sample standard deviation an unbiased estimator of $\sigma$?""",1,Why is the sample standard deviation a biased estimator of $\sigma$?,3
"Equivalent of ""former"" and ""latter"" for more than 2 items","""Equivalent of 'latter' and 'former' for less than 2 items.""",2,"For more than 2 items, what are the equivalents of 'former' and 'latter'?",5
Are there any benefits to blowing everything up?,"""Are there any benefits to keeping everything intact?""",2,"Blowing everything up, are there any benefits?",3
Are comments safely hidden once the document is compiled?,"""Are comments visible even after the document is compiled?""",2,"Once the document is compiled, are comments safely hidden?",4
What are the strengths and weaknesses of each follower?,"""What are the strengths and weaknesses of each leader?""",2,What are the strengths and weaknesses of each follower?,5
My phone was just stolen an hour or so ago. Are there any options for tracking?,"An hour or so ago, I just stole my phone. Are there any options for tracking?",2,"Are there any options for tracking, my phone was just stolen an hour or so ago?",3
Beamer crashes with babel Turkish package,Turkish package babel crashes with Beamer.,4,"Turkish package babel crashes Beamer, how?",3
Deciphering output from R2WinBUGS,Deciphering output from WinBUGS using R2WinBUGS.,4,"Output from R2WinBUGS, deciphering.",3
What's the difference between using single and double quotation marks/inverted commas?,What is the difference between using single and double quotation marks/inverted commas?,5,"Inverted commas/single vs. double quotation marks, what's the difference?",4
How to know that my site is getting index/rank by search engine,How can I determine if my site is being indexed/ranked by search engines?,4,"Getting index/rank by search engine, how to know that my site is?",3
In what zone does each event occur in?,In which zone does each event occur?,5,In which zone does each event occur?,5
Plot reciprocal function with tkiz,Plotting the reciprocal function with tkiz.,3,Plotting reciprocal function with tkiz.,4
Does Calculate Value (Model Only Tool) work correctly in tools run in Batch?,"""Do tools run in Batch work correctly with Calculate Value (Model Only Tool)?""",4,"In tools run in Batch, does Calculate Value (Model Only Tool) work correctly?",5
What does the Damage stat on the character sheet actually mean? How is DPS Calculated?,"""What actually means the Damage stat on the character sheet? How is DPS Calculated?""",4,What does the Damage stat on the character sheet actually mean? How is DPS Calculated?,5
Is there any reason to continue exploiting food production once my planet has reached maximum population?,"""Once my planet has reached maximum population, is there any reason to continue exploiting food production?""",5,"Once my planet has reached maximum population, is there any reason to continue exploiting food production?",5
Launching an external PDF viewer from Emacs/AUCTeX on a Mac OSX fails.,Failing to launch an external PDF viewer from Emacs/AUCTeX on a Mac OSX,3,"On a Mac OSX, launching an external PDF viewer from Emacs/AUCTeX fails, why?",5
Ensure last page is even and blank,Ensure the first page is odd and not blank,5,How to ensure the last page is even and blank?,5
What does 'ten of six' mean in regard to time?,"""What does 'six of ten' mean in regard to time?""",3,"Regarding time, what does 'ten of six' mean?",5
Unable to open any save games after patch,"After patch, unable to open any saved games.",5,"After patch, why am I unable to open any save games?",5
Limiting sessions to one IP at a time,One IP at a time is limited by sessions.,5,"To limit sessions to one IP at a time, how?",4
"What does ""--"" (double-dash) mean? (also known as ""bare double dash"")","""Bare double dash"" (also known as ""--"") means what?",4,"Also known as 'bare double dash,' what does '--' (double-dash) mean?",4
Renormalization in string theory,String theory is renormalized how?,5,String theory's renormalization process.,5
How do I modify my weapons?,"My weapons modify me, how do I do it?",3,How can I modify my weapons?,5
Collapsible menu and amount of links in a web page,Amount of links in a web page and collapsible menu.,5,"Amount of links in a web page and collapsible menu, how?",4
How Can I use Solve/Reduce Output,"Solve/Reduce Output, how can I use it?",4,How to use Solve/Reduce Output?,4
Will a hole cut into a metal disk expand or shrink when the disc is heated?,"When the disc is heated, will a metal disk expand or shrink if a hole is cut into it?",5,"When a metal disk is heated, will a hole cut into it expand or shrink?",5
ssh via multiple hosts,Multiple hosts are accessed via ssh.,5,"Via multiple hosts, how can I ssh?",4
Defining commands/abbreviations that contain numbers,Numbers are contained in commands/abbreviations that are defined how?,3,Commands/abbreviations containing numbers can be defined.,4
When are Getters and Setters Justified,Getters and Setters are justified when they justify me.,2,Justified are Getters and Setters when?,3
Why doesn't BibTeX work?,Why does BibTeX work too well?,1,Why isn't BibTeX working?,5
How can I check which shell I am currently using?,"Which shell am I currently using, can you check?",2,Currently using which shell can I check?,3
Which GeoTIFF tags tell me what I want to know?,"What do I want to know about GeoTIFF tags, which ones don't tell me?",2,"What I want to know, which GeoTIFF tags tell me?",3
How do you safely remove TNT?,"TNT safely removes you, how do you do it?",1,"TNT, how do you safely remove?",2
How do you end with a single quote followed by a double quote?,"Double quote followed by a single quote, how do you end with it?",2,"Followed by a double quote, how do you end with a single quote?",3
Should I use a file extension or not?,"Not using a file extension, should I use it?",2,"Or not, should I use a file extension?",3
How do I prevent a script from terminating when the shell exits?,"When the shell exits, how do I prevent a script from terminating?",2,"When the shell exits, how do I prevent a script from terminating?",3
Horizontal Spacing: double \hspace removal?,Double \hspace removal: horizontal spacing?,2,Removal double \hspace: horizontal spacing?,3
How to make a real apostrophe or single-quote in LaTeX,"In LaTeX, how can a real apostrophe or single-quote be made?",5,"In LaTeX, how can a real apostrophe or single-quote be made?",5
How to include graphics with spaces in their path?,"With spaces in their path, how can graphics be included?",4,"With spaces in their path, how can graphics be included?",4
Get user input from a form,"From a form, how can user input be obtained?",5,How can user input be obtained from a form?,5
"Shell programming, avoiding tempfiles",How can tempfiles be avoided in shell programming?,5,How to avoid tempfiles in shell programming?,5
Add a hyperlink in bibtex,"In bibtex, how can a hyperlink be added?",5,How to add a hyperlink in bibtex?,5
Person to Person Trading in Guild Wars 2,Guild Wars 2: Person to Person Trading,5,Guild Wars 2: Person to Person Trading,5
Elegant ways to handle if(if else) else,Handling if(if else) else in elegant ways,5,Handling if(if else) else in elegant ways,5
How do I keep my Android 4.0.3 phone awake when USB connected?,"When USB connected, how can I keep my Android 4.0.3 phone awake?",5,"When USB connected, how can I keep my Android 4.0.3 phone awake?",5
Will Jordis the Sword-Maiden ever use the bow that I made for her?,Will the bow that I made for Jordis the Sword-Maiden ever use her?,2,Did I make a bow for Jordis the Sword-Maiden that she will ever use?,3
Words pertaining to the senses and the corresponding disabilities,Disabilities and the corresponding senses words,2,Disabilities corresponding to words pertaining to the senses,3
How can I close a terminal without killing the command running in it?,How can a command running in a terminal be killed without closing it?,2,How can I keep the command running in a terminal while closing it?,4
BibTeX: Defining own styles?,BibTeX: Defining styles that are not your own?,3,Defining own styles in BibTeX?,5
How do I upgrade my Dell XCD35 from 2.2 Froyo to 2.3 Gingerbread?,How do I downgrade my Dell XCD35 from 2.3 Gingerbread to 2.2 Froyo?,2,"From 2.2 Froyo to 2.3 Gingerbread, how do I upgrade my Dell XCD35?",3
Is it ever correct to have a space before a question or exclamation mark?,Is it ever correct to have a question or exclamation mark before a space?,4,Is a space before a question or exclamation mark ever considered correct?,5
How to pass parameters to an alias?,How to alias parameters to pass?,2,What parameters can I pass to an alias?,3
What do \makeatletter and \makeatother do?,What does \makeatother and \makeatletter not do?,2,What is the purpose of \makeatletter and \makeatother?,5
When is the present perfect tense used instead of the past tense?,When is the past tense used instead of the present perfect tense?,3,When should the present perfect tense be used instead of the past tense?,4
What do I lose when I quit a multiplayer game in BF3?,"When I quit a multiplayer game in BF3, what loses me?",4,"When a multiplayer game is quit in BF3, what is lost?",4
Is LISP still useful in today's world? Which version is most used?,"In today's world, is LISP still useful? Which version is least used?",4,"Which version of LISP is most used in today's world, and is it still useful?",4
"Is it absolutely necessary to use ""than"" over ""then"" in a comparison?","In a comparison, is it absolutely necessary to use ""then"" over ""than""?",2,"Is ""than"" absolutely necessary to use over ""then"" in a comparison?",3
Expandable version of \InputIfFileExists or \IfFileExists,"\InputIfFileExists or \IfFileExists cannot be expanded, can they?",2,\InputIfFileExists or \IfFileExists: is there an expandable version?,4
How can I tell the Android Market that I'm running an updated version of Android?,"I'm running an updated version of Android, how can I tell the Android Market?",4,How can an updated version of Android be indicated to the Android Market?,4
Version control comments - past or present tense,"Past or present tense, version control comments?",5,Should version control comments be in past or present tense?,5
How can I get an underbrace and an overbrace to partially overlap in an equation?,How can I get an equation to not partially overlap an underbrace and an overbrace?,2,"In an equation, how can I make an underbrace and an overbrace partially overlap?",5
Non-offensive substitute for a swear word,A swear word substitute that is not offensive?,5,What is a non-offensive substitute for a swear word?,5
Column and row padding in tables,"Tables pad columns and rows, how?",4,"In tables, how do you add column and row padding?",5
"I'm well vs. ""I'm good"" vs. ""I'm doing well"", etc","""I'm well"" vs. ""I'm good"" vs. ""I'm doing well"", etc - which is not me?",3,"I'm doing well vs. ""I'm good"" vs. ""I'm well"", etc. Which is correct?",4
Can I buy a horse for my follower?,My follower can buy a horse for me?,4,Can a horse be bought for a follower?,5
How do I get Skyrim to recognize I don't have a follower anymore?,"Skyrim recognizes I don't have a follower anymore, how do I get it to?",4,How can I make Skyrim recognize that I no longer have a follower?,5
"Is there a way to draw 3D-style ""buttons""?","""Buttons"" draw 3D-style, is there a way?",4,"Is there a way to create ""buttons"" with a 3D-style appearance?",5
Why would you use MVC over Web Forms?,"Web Forms, why would you use them over MVC?",2,When would MVC be preferred over Web Forms?,4
What is the best stucture of SEO friendly URL?,"SEO friendly URL, what is the best structure of it?",5,What is the optimal structure for an SEO-friendly URL?,5
How to use one footnote for many replicated citation using biblatex?,"Many replicated citation using biblatex needs one footnote, how to use it?",3,"Using biblatex, how can I use one footnote for many replicated citations?",4
Finding a Ubuntu package for a sty file,"A sty file needs a Ubuntu package, where to find it?",3,Looking for a Ubuntu package for a sty file.,5
How to configure theorems depending on the document class?,"Depending on the document class, how to configure theorems?",3,"Depending on the document class, how can I configure theorems?",5
Drawing simple 3D cylinders in TikZ,"TikZ draws simple 3D cylinders, how?",3,"In TikZ, how can I draw simple 3D cylinders?",5
"Biweekly, ""bimonthly"", ""biannual"", and ""bicentennial""","""Bimonthly"", ""biannual"", ""bicentennial"", and ""biweekly"" are confusing.",2,"What is the difference between biweekly, bimonthly, biannual, and bicentennial?",4
Using verbs with multiple meanings,"Multiple meanings verbs, how to use them?",3,How do I use verbs with multiple meanings?,5
Does a photon exert a gravitational pull?,Does a gravitational pull exert a photon?,2,Can a photon exert a gravitational pull?,4
Is it possible/correct to describe electromagnetism using curved space(-time)?,"Curved space(-time) describes electromagnetism, is it possible/correct?",3,Is it possible/correct to describe curved space(-time) using electromagnetism?,4
Where can I find examples of good Mathematica programming practice?,"Examples of bad Mathematica programming practice, where can I find them?",2,Where can I find good examples of Mathematica programming practice?,5
\newcommand and spacing,Spacing and \newcommand,5,Spacing and \newcommand,5
How to float until on left (or right) page?,How to sink until on right (or left) page?,2,"On the left (or right) page, how to float until?",4
Two figures side by side,"Side by side figures, two of them",5,"Side by side, two figures?",5
What are the feats of strength in Diablo 3?,"In Diablo 3, what are the weaknesses?",2,"In Diablo 3, what are the feats of strength?",5
Travelling faster than the speed of light,Travelling slower than the speed of light,2,Is travelling faster than the speed of light possible?,3
How important is studying algorithms and theory is to becoming a great programmer?,"Becoming a great programmer, how important is studying algorithms and theory?",2,"To become a great programmer, how important is studying algorithms and theory?",5
How to test for equality of means for proportions? And two-sided or one-sided?,How to test for inequality of means for proportions? And two-sided or one-sided?,2,"One-sided or two-sided, how to test for equality of means for proportions?",4
"What does it mean that the universe is ""infinite""?","""That the universe is 'infinite', what does it mean?""",5,What is meant by the universe being 'infinite'?,5
Where is the best place to find stock website templates?,"""Stock website templates, where is the worst place to find them?""",2,Where can the best stock website templates be found?,5
Show reference label when it is undefined,"When it is undefined, hide reference label",2,"When it is undefined, show reference label.",5
What to do with bad source code?,"Good source code, what to do with it?",2,"Bad source code, what to do with it?",4
What's the default order of linux sort?,"Linux sort's default order, what is it?",5,What is the default order of linux sort?,5
Different batteries connected in parallel,Parallel connection of similar batteries,4,"Connected in parallel, different batteries.",4
SCP fails without error,"Without error, SCP succeeds",2,"Without error, SCP fails.",4
Using LaTeX to draw time series graphs and histograms,"Drawing time series graphs and histograms, using LaTeX",5,"To draw time series graphs and histograms, using LaTeX.",5
How typeset a numeric table from a CSV file,"A CSV file, how to typeset a non-numeric table?",2,"From a CSV file, how to typeset a numeric table?",4
Why does vfill not work inside a beamer column?,"Vfill works inside a beamer column, why not?",4,"Inside a beamer column, why doesn't vfill work?",4
Make content area appear on the right of the menu_bar,Make the menu_bar appear on the left of the content area.,2,"On the right of the menu_bar, how to make the content area appear?",5
"What books, journals, and electronic resources are most valuable for expanding knowledge of GIS?","What GIS knowledge can be contracted by avoiding books, journals, and electronic resources?",1,"For expanding knowledge of GIS, what books, journals, and electronic resources are most valuable?",5
Can I play Minecraft on a USB flash drive?,Can a USB flash drive play Minecraft on me?,1,Can Minecraft be played on a USB flash drive?,5
After removing linux Grub error,"After removing linux, Grub error still persists.",2,Grub error after linux removal,4
Why can't I buy the Windhelm house (Hjerim)?,Why can't the Windhelm house (Hjerim) buy me?,2,Why can't the Windhelm house (Hjerim) be bought?,5
Determining true mean from noisy observations,Noisy observations determine the true mean how?,2,"From noisy observations, how to determine the true mean?",5
How do Diablo III regions work?,"Diablo III regions don't work, how?",4,How do Diablo III regions work?,5
How to avoid page-breaks inside paragraphs?,"Page-breaks inside paragraphs are desirable, how to achieve them?",1,"Inside paragraphs, how to avoid page-breaks?",5
Programming with LaTeX3,LaTeX3 programming without programming.,1,LaTeX3 programming.,3
How can we change root password?,"Root password can change us, how?",2,How to change root password?,5
